sequence,row_index,id,relative_path,source_sha256,source_size_bytes,expected_status,schedule_schema_version,schedule_design,schedule_sha256,repeat,schedule_row,complete_block,row_in_block,order_in_repeat,arm_position,label,arm,schedule_order_json,timing_scope,parser_inclusive,result,time_s,exit_code,process_returncode,timed_out,error_kind,error_detail,stdout,stderr,argv_json
0,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,2779d97083b8112ebf5ed6613f1ad1272b315378eef821dba92570a95c0c2772,0,0,0,0,0,0,production,production,"[""production"",""scan"",""action"",""incremental"",""learned"",""watched""]",parser_inclusive_subprocess_wall_clock,1,timeout,2.004256167,124,-9,1,timeout,exceeded 2 seconds,,,"[""target/release/euf-viper"",""solve"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
1,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,2779d97083b8112ebf5ed6613f1ad1272b315378eef821dba92570a95c0c2772,0,0,0,0,1,1,scan,scan,"[""production"",""scan"",""action"",""incremental"",""learned"",""watched""]",parser_inclusive_subprocess_wall_clock,1,timeout,2.003994208,124,-9,1,timeout,exceeded 2 seconds,,,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""scan"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
2,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,2779d97083b8112ebf5ed6613f1ad1272b315378eef821dba92570a95c0c2772,0,0,0,0,2,2,action,action,"[""production"",""scan"",""action"",""incremental"",""learned"",""watched""]",parser_inclusive_subprocess_wall_clock,1,timeout,2.002965416,124,-9,1,timeout,exceeded 2 seconds,,,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""action"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
3,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,2779d97083b8112ebf5ed6613f1ad1272b315378eef821dba92570a95c0c2772,0,0,0,0,3,3,incremental,incremental,"[""production"",""scan"",""action"",""incremental"",""learned"",""watched""]",parser_inclusive_subprocess_wall_clock,1,timeout,2.003981292,124,-9,1,timeout,exceeded 2 seconds,,,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""incremental"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
4,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,2779d97083b8112ebf5ed6613f1ad1272b315378eef821dba92570a95c0c2772,0,0,0,0,4,4,learned,learned,"[""production"",""scan"",""action"",""incremental"",""learned"",""watched""]",parser_inclusive_subprocess_wall_clock,1,timeout,2.003812792,124,-9,1,timeout,exceeded 2 seconds,,,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""learned"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
5,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,2779d97083b8112ebf5ed6613f1ad1272b315378eef821dba92570a95c0c2772,0,0,0,0,5,5,watched,watched,"[""production"",""scan"",""action"",""incremental"",""learned"",""watched""]",parser_inclusive_subprocess_wall_clock,1,timeout,2.004748375,124,-9,1,timeout,exceeded 2 seconds,,,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""watched"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
6,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,2779d97083b8112ebf5ed6613f1ad1272b315378eef821dba92570a95c0c2772,1,1,0,1,0,0,scan,scan,"[""scan"",""incremental"",""production"",""watched"",""action"",""learned""]",parser_inclusive_subprocess_wall_clock,1,timeout,2.002980208,124,-9,1,timeout,exceeded 2 seconds,,,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""scan"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
7,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,2779d97083b8112ebf5ed6613f1ad1272b315378eef821dba92570a95c0c2772,1,1,0,1,1,1,incremental,incremental,"[""scan"",""incremental"",""production"",""watched"",""action"",""learned""]",parser_inclusive_subprocess_wall_clock,1,timeout,2.004028708,124,-9,1,timeout,exceeded 2 seconds,,,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""incremental"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
8,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,2779d97083b8112ebf5ed6613f1ad1272b315378eef821dba92570a95c0c2772,1,1,0,1,2,2,production,production,"[""scan"",""incremental"",""production"",""watched"",""action"",""learned""]",parser_inclusive_subprocess_wall_clock,1,timeout,2.003918542,124,-9,1,timeout,exceeded 2 seconds,,,"[""target/release/euf-viper"",""solve"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
9,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,2779d97083b8112ebf5ed6613f1ad1272b315378eef821dba92570a95c0c2772,1,1,0,1,3,3,watched,watched,"[""scan"",""incremental"",""production"",""watched"",""action"",""learned""]",parser_inclusive_subprocess_wall_clock,1,timeout,2.002845375,124,-9,1,timeout,exceeded 2 seconds,,,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""watched"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
