sequence,row_index,id,relative_path,source_sha256,source_size_bytes,expected_status,schedule_schema_version,schedule_design,schedule_sha256,repeat,schedule_row,complete_block,row_in_block,order_in_repeat,arm_position,label,arm,schedule_order_json,timing_scope,parser_inclusive,result,time_s,exit_code,process_returncode,timed_out,error_kind,error_detail,stdout,stderr,argv_json
0,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,1cf32c49ab833e69165b15a4c865ce53197f292ad9813ffdaafa75b10d452c68,0,0,0,0,0,0,viper-structural,viper-structural,"[""viper-structural"",""z3"",""cvc5"",""yices2""]",parser_inclusive_subprocess_wall_clock,1,timeout,5.002629250,124,-9,1,timeout,exceeded 5 seconds,,,"[""target/release/euf-viper"",""solve"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
1,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,1cf32c49ab833e69165b15a4c865ce53197f292ad9813ffdaafa75b10d452c68,0,0,0,0,1,1,z3,z3,"[""viper-structural"",""z3"",""cvc5"",""yices2""]",parser_inclusive_subprocess_wall_clock,1,sat,0.063463209,0,0,0,,,"sat
",,"[""third_party/solvers/pinned/bin/z3"",""-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
2,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,1cf32c49ab833e69165b15a4c865ce53197f292ad9813ffdaafa75b10d452c68,0,0,0,0,2,2,cvc5,cvc5,"[""viper-structural"",""z3"",""cvc5"",""yices2""]",parser_inclusive_subprocess_wall_clock,1,sat,0.434776333,0,0,0,,,"sat
",,"[""third_party/solvers/pinned/bin/cvc5"",""--lang=smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
3,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,1cf32c49ab833e69165b15a4c865ce53197f292ad9813ffdaafa75b10d452c68,0,0,0,0,3,3,yices2,yices2,"[""viper-structural"",""z3"",""cvc5"",""yices2""]",parser_inclusive_subprocess_wall_clock,1,sat,0.017071750,0,0,0,,,"sat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
4,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,1cf32c49ab833e69165b15a4c865ce53197f292ad9813ffdaafa75b10d452c68,1,1,0,1,0,0,z3,z3,"[""z3"",""yices2"",""viper-structural"",""cvc5""]",parser_inclusive_subprocess_wall_clock,1,sat,0.060795791,0,0,0,,,"sat
",,"[""third_party/solvers/pinned/bin/z3"",""-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
5,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,1cf32c49ab833e69165b15a4c865ce53197f292ad9813ffdaafa75b10d452c68,1,1,0,1,1,1,yices2,yices2,"[""z3"",""yices2"",""viper-structural"",""cvc5""]",parser_inclusive_subprocess_wall_clock,1,sat,0.016227125,0,0,0,,,"sat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
6,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,1cf32c49ab833e69165b15a4c865ce53197f292ad9813ffdaafa75b10d452c68,1,1,0,1,2,2,viper-structural,viper-structural,"[""z3"",""yices2"",""viper-structural"",""cvc5""]",parser_inclusive_subprocess_wall_clock,1,timeout,5.003794667,124,-9,1,timeout,exceeded 5 seconds,,,"[""target/release/euf-viper"",""solve"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
7,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,1cf32c49ab833e69165b15a4c865ce53197f292ad9813ffdaafa75b10d452c68,1,1,0,1,3,3,cvc5,cvc5,"[""z3"",""yices2"",""viper-structural"",""cvc5""]",parser_inclusive_subprocess_wall_clock,1,sat,0.433171875,0,0,0,,,"sat
",,"[""third_party/solvers/pinned/bin/cvc5"",""--lang=smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
8,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,1cf32c49ab833e69165b15a4c865ce53197f292ad9813ffdaafa75b10d452c68,2,2,0,2,0,0,yices2,yices2,"[""yices2"",""cvc5"",""z3"",""viper-structural""]",parser_inclusive_subprocess_wall_clock,1,sat,0.016440917,0,0,0,,,"sat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
9,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,1cf32c49ab833e69165b15a4c865ce53197f292ad9813ffdaafa75b10d452c68,2,2,0,2,1,1,cvc5,cvc5,"[""yices2"",""cvc5"",""z3"",""viper-structural""]",parser_inclusive_subprocess_wall_clock,1,sat,0.436753083,0,0,0,,,"sat
",,"[""third_party/solvers/pinned/bin/cvc5"",""--lang=smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
