sequence,row_index,id,relative_path,expected_status,label,repeat,order_in_repeat,result,time_s,exit_code,process_returncode,timed_out,error_kind,stdout,stderr,argv_json
0,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,sat,baseline,0,0,sat,0.142682292,0,0,0,,"sat
",,"[""/tmp/euf-viper-pre-fxhash-adjacency"",""fabric-solve"",""--engine"",""cadical-up"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
1,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,sat,candidate,0,1,sat,0.134710167,0,0,0,,"sat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""cadical-up"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
2,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,sat,candidate,1,0,sat,0.137527792,0,0,0,,"sat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""cadical-up"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
3,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,sat,baseline,1,1,sat,0.143281167,0,0,0,,"sat
",,"[""/tmp/euf-viper-pre-fxhash-adjacency"",""fabric-solve"",""--engine"",""cadical-up"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
4,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,sat,baseline,2,0,sat,0.142489042,0,0,0,,"sat
",,"[""/tmp/euf-viper-pre-fxhash-adjacency"",""fabric-solve"",""--engine"",""cadical-up"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
5,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,sat,candidate,2,1,sat,0.135513250,0,0,0,,"sat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""cadical-up"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
6,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,sat,candidate,3,0,sat,0.138677583,0,0,0,,"sat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""cadical-up"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
7,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,sat,baseline,3,1,sat,0.145290292,0,0,0,,"sat
",,"[""/tmp/euf-viper-pre-fxhash-adjacency"",""fabric-solve"",""--engine"",""cadical-up"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
8,1,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,candidate,0,0,timeout,2.003650708,124,-9,1,timeout,,,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""cadical-up"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
9,1,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,baseline,0,1,timeout,2.002912583,124,-9,1,timeout,,,"[""/tmp/euf-viper-pre-fxhash-adjacency"",""fabric-solve"",""--engine"",""cadical-up"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
10,1,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,baseline,1,0,timeout,2.002939083,124,-9,1,timeout,,,"[""/tmp/euf-viper-pre-fxhash-adjacency"",""fabric-solve"",""--engine"",""cadical-up"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
11,1,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,candidate,1,1,timeout,2.002522791,124,-9,1,timeout,,,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""cadical-up"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
12,1,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,candidate,2,0,timeout,2.002555958,124,-9,1,timeout,,,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""cadical-up"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
13,1,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,baseline,2,1,timeout,2.003732250,124,-9,1,timeout,,,"[""/tmp/euf-viper-pre-fxhash-adjacency"",""fabric-solve"",""--engine"",""cadical-up"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
14,1,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,baseline,3,0,timeout,2.003377459,124,-9,1,timeout,,,"[""/tmp/euf-viper-pre-fxhash-adjacency"",""fabric-solve"",""--engine"",""cadical-up"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
15,1,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,candidate,3,1,timeout,2.003191791,124,-9,1,timeout,,,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""cadical-up"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
16,2,7309,QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2,unsat,baseline,0,0,timeout,2.013944916,124,-9,1,timeout,,,"[""/tmp/euf-viper-pre-fxhash-adjacency"",""fabric-solve"",""--engine"",""cadical-up"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2""]"
17,2,7309,QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2,unsat,candidate,0,1,timeout,2.008111750,124,-9,1,timeout,,,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""cadical-up"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2""]"
18,2,7309,QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2,unsat,candidate,1,0,timeout,2.006343459,124,-9,1,timeout,,,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""cadical-up"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2""]"
19,2,7309,QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2,unsat,baseline,1,1,timeout,2.007466458,124,-9,1,timeout,,,"[""/tmp/euf-viper-pre-fxhash-adjacency"",""fabric-solve"",""--engine"",""cadical-up"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2""]"
20,2,7309,QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2,unsat,baseline,2,0,timeout,2.007914417,124,-9,1,timeout,,,"[""/tmp/euf-viper-pre-fxhash-adjacency"",""fabric-solve"",""--engine"",""cadical-up"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2""]"
21,2,7309,QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2,unsat,candidate,2,1,timeout,2.007526375,124,-9,1,timeout,,,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""cadical-up"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg7/iso_icl_nogen001.smt2""]"
