sequence,row_index,id,relative_path,expected_status,label,repeat,order_in_repeat,result,time_s,exit_code,process_returncode,timed_out,error_kind,stdout,stderr,argv_json
0,0,904,QF_UF/PEQ/PEQ002_size8.smt2,unsat,baseline,0,0,unsat,0.832354334,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ002_size8.smt2""]"
1,0,904,QF_UF/PEQ/PEQ002_size8.smt2,unsat,candidate,0,1,unsat,0.823882334,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ002_size8.smt2""]"
2,0,904,QF_UF/PEQ/PEQ002_size8.smt2,unsat,candidate,1,0,unsat,0.825642083,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ002_size8.smt2""]"
3,0,904,QF_UF/PEQ/PEQ002_size8.smt2,unsat,baseline,1,1,unsat,0.826451583,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ002_size8.smt2""]"
4,0,904,QF_UF/PEQ/PEQ002_size8.smt2,unsat,baseline,2,0,unsat,0.827112167,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ002_size8.smt2""]"
5,0,904,QF_UF/PEQ/PEQ002_size8.smt2,unsat,candidate,2,1,unsat,0.833686584,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ002_size8.smt2""]"
6,0,904,QF_UF/PEQ/PEQ002_size8.smt2,unsat,candidate,3,0,unsat,0.828445958,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ002_size8.smt2""]"
7,0,904,QF_UF/PEQ/PEQ002_size8.smt2,unsat,baseline,3,1,unsat,0.831832500,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ002_size8.smt2""]"
8,0,904,QF_UF/PEQ/PEQ002_size8.smt2,unsat,baseline,4,0,unsat,0.823212708,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ002_size8.smt2""]"
9,0,904,QF_UF/PEQ/PEQ002_size8.smt2,unsat,candidate,4,1,unsat,0.835238708,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ002_size8.smt2""]"
10,0,904,QF_UF/PEQ/PEQ002_size8.smt2,unsat,candidate,5,0,unsat,0.824041083,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ002_size8.smt2""]"
11,0,904,QF_UF/PEQ/PEQ002_size8.smt2,unsat,baseline,5,1,unsat,0.825345541,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ002_size8.smt2""]"
12,0,904,QF_UF/PEQ/PEQ002_size8.smt2,unsat,baseline,6,0,unsat,0.830909375,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ002_size8.smt2""]"
13,0,904,QF_UF/PEQ/PEQ002_size8.smt2,unsat,candidate,6,1,unsat,0.827006375,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ002_size8.smt2""]"
14,0,904,QF_UF/PEQ/PEQ002_size8.smt2,unsat,candidate,7,0,unsat,0.831245208,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ002_size8.smt2""]"
15,0,904,QF_UF/PEQ/PEQ002_size8.smt2,unsat,baseline,7,1,unsat,0.826162458,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ002_size8.smt2""]"
16,0,904,QF_UF/PEQ/PEQ002_size8.smt2,unsat,baseline,8,0,unsat,0.830221625,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ002_size8.smt2""]"
17,0,904,QF_UF/PEQ/PEQ002_size8.smt2,unsat,candidate,8,1,unsat,0.826123750,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ002_size8.smt2""]"
18,1,919,QF_UF/PEQ/PEQ011_size7.smt2,unsat,candidate,0,0,unsat,0.025833542,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ011_size7.smt2""]"
19,1,919,QF_UF/PEQ/PEQ011_size7.smt2,unsat,baseline,0,1,unsat,0.030200584,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ011_size7.smt2""]"
20,1,919,QF_UF/PEQ/PEQ011_size7.smt2,unsat,baseline,1,0,unsat,0.030535416,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ011_size7.smt2""]"
21,1,919,QF_UF/PEQ/PEQ011_size7.smt2,unsat,candidate,1,1,unsat,0.025879750,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ011_size7.smt2""]"
22,1,919,QF_UF/PEQ/PEQ011_size7.smt2,unsat,candidate,2,0,unsat,0.026014459,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ011_size7.smt2""]"
23,1,919,QF_UF/PEQ/PEQ011_size7.smt2,unsat,baseline,2,1,unsat,0.029964250,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ011_size7.smt2""]"
24,1,919,QF_UF/PEQ/PEQ011_size7.smt2,unsat,baseline,3,0,unsat,0.031754375,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ011_size7.smt2""]"
