sequence,row_index,id,relative_path,expected_status,label,repeat,order_in_repeat,result,time_s,exit_code,process_returncode,timed_out,error_kind,stdout,stderr,argv_json
0,0,901,QF_UF/PEQ/PEQ002_size5.smt2,unsat,baseline,0,0,unsat,0.010055875,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ002_size5.smt2""]"
1,0,901,QF_UF/PEQ/PEQ002_size5.smt2,unsat,candidate,0,1,unsat,0.017175875,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ002_size5.smt2""]"
2,1,902,QF_UF/PEQ/PEQ002_size6.smt2,unsat,candidate,0,0,unsat,0.059709500,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ002_size6.smt2""]"
3,1,902,QF_UF/PEQ/PEQ002_size6.smt2,unsat,baseline,0,1,unsat,0.032204167,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ002_size6.smt2""]"
4,2,903,QF_UF/PEQ/PEQ002_size7.smt2,unsat,baseline,0,0,unsat,0.095517541,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ002_size7.smt2""]"
5,2,903,QF_UF/PEQ/PEQ002_size7.smt2,unsat,candidate,0,1,unsat,0.155068583,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ002_size7.smt2""]"
6,3,904,QF_UF/PEQ/PEQ002_size8.smt2,unsat,candidate,0,0,unsat,0.831452875,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ002_size8.smt2""]"
7,3,904,QF_UF/PEQ/PEQ002_size8.smt2,unsat,baseline,0,1,unsat,0.248908542,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ002_size8.smt2""]"
8,4,905,QF_UF/PEQ/PEQ003_size10.smt2,unsat,baseline,0,0,timeout,2.003580167,124,-9,1,timeout,,,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ003_size10.smt2""]"
9,4,905,QF_UF/PEQ/PEQ003_size10.smt2,unsat,candidate,0,1,unsat,0.679116500,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ003_size10.smt2""]"
