sequence,row_index,id,relative_path,expected_status,label,repeat,order_in_repeat,result,time_s,exit_code,process_returncode,timed_out,error_kind,stdout,stderr,argv_json
0,0,947,QF_UF/PEQ/PEQ020_size7.smt2,unsat,baseline,0,0,unsat,1.507587542,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ020_size7.smt2""]"
1,0,947,QF_UF/PEQ/PEQ020_size7.smt2,unsat,candidate,0,1,unsat,1.120064542,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ020_size7.smt2""]"
2,0,947,QF_UF/PEQ/PEQ020_size7.smt2,unsat,candidate,1,0,unsat,1.113659208,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ020_size7.smt2""]"
3,0,947,QF_UF/PEQ/PEQ020_size7.smt2,unsat,baseline,1,1,unsat,1.520835333,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ020_size7.smt2""]"
4,0,947,QF_UF/PEQ/PEQ020_size7.smt2,unsat,baseline,2,0,unsat,1.507441292,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ020_size7.smt2""]"
5,0,947,QF_UF/PEQ/PEQ020_size7.smt2,unsat,candidate,2,1,unsat,1.132535875,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ020_size7.smt2""]"
6,0,947,QF_UF/PEQ/PEQ020_size7.smt2,unsat,candidate,3,0,unsat,1.123242875,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ020_size7.smt2""]"
7,0,947,QF_UF/PEQ/PEQ020_size7.smt2,unsat,baseline,3,1,unsat,1.517403167,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ020_size7.smt2""]"
8,0,947,QF_UF/PEQ/PEQ020_size7.smt2,unsat,baseline,4,0,unsat,1.510984000,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ020_size7.smt2""]"
9,0,947,QF_UF/PEQ/PEQ020_size7.smt2,unsat,candidate,4,1,unsat,1.131333667,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ020_size7.smt2""]"
10,0,947,QF_UF/PEQ/PEQ020_size7.smt2,unsat,candidate,5,0,unsat,1.131822709,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ020_size7.smt2""]"
