sequence,row_index,id,relative_path,expected_status,label,repeat,order_in_repeat,result,time_s,exit_code,process_returncode,timed_out,error_kind,stdout,stderr,argv_json
0,0,6682,QF_UF/QG-classification/qg6/dead_dnd001.smt2,unsat,baseline,0,0,timeout,2.002437042,124,-9,1,timeout,,,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/output/worktrees/viper-fabric-next/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg6/dead_dnd001.smt2""]"
1,0,6682,QF_UF/QG-classification/qg6/dead_dnd001.smt2,unsat,candidate,0,1,unsat,0.463043417,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/output/worktrees/viper-fabric-next/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg6/dead_dnd001.smt2""]"
2,1,6683,QF_UF/QG-classification/qg6/dead_dnd002.smt2,unsat,candidate,0,0,unsat,0.320220000,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/output/worktrees/viper-fabric-next/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg6/dead_dnd002.smt2""]"
3,1,6683,QF_UF/QG-classification/qg6/dead_dnd002.smt2,unsat,baseline,0,1,timeout,2.003625084,124,-9,1,timeout,,,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/output/worktrees/viper-fabric-next/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg6/dead_dnd002.smt2""]"
4,2,6684,QF_UF/QG-classification/qg6/dead_dnd_sk001.smt2,unsat,baseline,0,0,unsat,0.339226917,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/output/worktrees/viper-fabric-next/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg6/dead_dnd_sk001.smt2""]"
5,2,6684,QF_UF/QG-classification/qg6/dead_dnd_sk001.smt2,unsat,candidate,0,1,unsat,0.233456166,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/output/worktrees/viper-fabric-next/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg6/dead_dnd_sk001.smt2""]"
6,3,6685,QF_UF/QG-classification/qg6/dead_dnd_sk002.smt2,unsat,candidate,0,0,unsat,0.067234625,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/output/worktrees/viper-fabric-next/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg6/dead_dnd_sk002.smt2""]"
7,3,6685,QF_UF/QG-classification/qg6/dead_dnd_sk002.smt2,unsat,baseline,0,1,unsat,0.094594750,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/output/worktrees/viper-fabric-next/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg6/dead_dnd_sk002.smt2""]"
8,4,6686,QF_UF/QG-classification/qg6/gensys_brn001.smt2,sat,baseline,0,0,sat,0.057051541,0,0,0,,"sat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/output/worktrees/viper-fabric-next/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg6/gensys_brn001.smt2""]"
9,4,6686,QF_UF/QG-classification/qg6/gensys_brn001.smt2,sat,candidate,0,1,sat,0.026685292,0,0,0,,"sat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/output/worktrees/viper-fabric-next/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg6/gensys_brn001.smt2""]"
10,5,6687,QF_UF/QG-classification/qg6/gensys_brn002.smt2,sat,candidate,0,0,sat,0.021213875,0,0,0,,"sat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/output/worktrees/viper-fabric-next/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg6/gensys_brn002.smt2""]"
11,5,6687,QF_UF/QG-classification/qg6/gensys_brn002.smt2,sat,baseline,0,1,sat,0.029006125,0,0,0,,"sat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/output/worktrees/viper-fabric-next/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg6/gensys_brn002.smt2""]"
12,6,6688,QF_UF/QG-classification/qg6/gensys_brn003.smt2,sat,baseline,0,0,sat,0.019683084,0,0,0,,"sat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/output/worktrees/viper-fabric-next/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg6/gensys_brn003.smt2""]"
13,6,6688,QF_UF/QG-classification/qg6/gensys_brn003.smt2,sat,candidate,0,1,sat,0.018038542,0,0,0,,"sat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/output/worktrees/viper-fabric-next/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg6/gensys_brn003.smt2""]"
14,7,6689,QF_UF/QG-classification/qg6/gensys_brn004.smt2,sat,candidate,0,0,sat,0.026929417,0,0,0,,"sat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/output/worktrees/viper-fabric-next/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg6/gensys_brn004.smt2""]"
15,7,6689,QF_UF/QG-classification/qg6/gensys_brn004.smt2,sat,baseline,0,1,sat,0.020777541,0,0,0,,"sat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/output/worktrees/viper-fabric-next/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg6/gensys_brn004.smt2""]"
16,8,6690,QF_UF/QG-classification/qg6/gensys_brn005.smt2,sat,baseline,0,0,sat,0.075503500,0,0,0,,"sat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/output/worktrees/viper-fabric-next/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg6/gensys_brn005.smt2""]"
17,8,6690,QF_UF/QG-classification/qg6/gensys_brn005.smt2,sat,candidate,0,1,sat,0.018852334,0,0,0,,"sat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/output/worktrees/viper-fabric-next/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg6/gensys_brn005.smt2""]"
18,9,6691,QF_UF/QG-classification/qg6/gensys_brn006.smt2,sat,candidate,0,0,sat,0.025334000,0,0,0,,"sat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/output/worktrees/viper-fabric-next/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg6/gensys_brn006.smt2""]"
19,9,6691,QF_UF/QG-classification/qg6/gensys_brn006.smt2,sat,baseline,0,1,sat,0.106999500,0,0,0,,"sat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/output/worktrees/viper-fabric-next/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg6/gensys_brn006.smt2""]"
20,10,6692,QF_UF/QG-classification/qg6/gensys_brn007.smt2,unsat,baseline,0,0,timeout,2.004104042,124,-9,1,timeout,,,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/output/worktrees/viper-fabric-next/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg6/gensys_brn007.smt2""]"
