sequence,row_index,id,relative_path,expected_status,label,repeat,order_in_repeat,result,time_s,exit_code,process_returncode,timed_out,error_kind,stdout,stderr,argv_json
0,0,6682,QF_UF/QG-classification/qg6/dead_dnd001.smt2,unsat,baseline,0,0,unsat,1.140294917,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/output/worktrees/viper-fabric-next/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg6/dead_dnd001.smt2""]"
1,0,6682,QF_UF/QG-classification/qg6/dead_dnd001.smt2,unsat,candidate,0,1,unsat,0.462047208,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/output/worktrees/viper-fabric-next/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg6/dead_dnd001.smt2""]"
2,1,6683,QF_UF/QG-classification/qg6/dead_dnd002.smt2,unsat,candidate,0,0,unsat,0.313776792,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/output/worktrees/viper-fabric-next/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg6/dead_dnd002.smt2""]"
3,1,6683,QF_UF/QG-classification/qg6/dead_dnd002.smt2,unsat,baseline,0,1,unsat,1.139126000,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/output/worktrees/viper-fabric-next/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg6/dead_dnd002.smt2""]"
4,2,6684,QF_UF/QG-classification/qg6/dead_dnd_sk001.smt2,unsat,baseline,0,0,unsat,0.554761834,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/output/worktrees/viper-fabric-next/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg6/dead_dnd_sk001.smt2""]"
5,2,6684,QF_UF/QG-classification/qg6/dead_dnd_sk001.smt2,unsat,candidate,0,1,unsat,0.235707875,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/output/worktrees/viper-fabric-next/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg6/dead_dnd_sk001.smt2""]"
6,3,6685,QF_UF/QG-classification/qg6/dead_dnd_sk002.smt2,unsat,candidate,0,0,unsat,0.069214833,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/output/worktrees/viper-fabric-next/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg6/dead_dnd_sk002.smt2""]"
7,3,6685,QF_UF/QG-classification/qg6/dead_dnd_sk002.smt2,unsat,baseline,0,1,unsat,0.253634542,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/output/worktrees/viper-fabric-next/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg6/dead_dnd_sk002.smt2""]"
8,4,6686,QF_UF/QG-classification/qg6/gensys_brn001.smt2,sat,baseline,0,0,sat,0.073776917,0,0,0,,"sat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/output/worktrees/viper-fabric-next/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg6/gensys_brn001.smt2""]"
9,4,6686,QF_UF/QG-classification/qg6/gensys_brn001.smt2,sat,candidate,0,1,sat,0.027172750,0,0,0,,"sat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/output/worktrees/viper-fabric-next/benchmarks/smtlib-2025/QF_UF/QF_UF/QG-classification/qg6/gensys_brn001.smt2""]"
