sequence,row_index,id,relative_path,expected_status,label,repeat,order_in_repeat,result,time_s,exit_code,process_returncode,timed_out,error_kind,stdout,stderr,argv_json
0,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,baseline,0,0,unsat,0.929783750,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
1,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,candidate,0,1,unsat,0.424205708,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
2,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,candidate,1,0,unsat,0.425572125,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
3,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,baseline,1,1,unsat,0.931346584,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
4,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,baseline,2,0,unsat,0.938332167,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
5,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,candidate,2,1,unsat,0.428359708,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
6,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,candidate,3,0,unsat,0.427700083,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
7,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,baseline,3,1,unsat,0.935891917,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
8,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,baseline,4,0,unsat,0.943121917,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
9,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,candidate,4,1,unsat,0.427285917,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
10,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,candidate,5,0,unsat,0.423123583,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
11,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,baseline,5,1,unsat,0.929412167,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
12,0,924,QF_UF/PEQ/PEQ012_size6.smt2,unsat,baseline,6,0,unsat,0.930271959,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
