sequence,row_index,id,relative_path,expected_status,label,repeat,order_in_repeat,result,time_s,exit_code,process_returncode,timed_out,error_kind,stdout,stderr,argv_json
0,0,853,QF_UF/NEQ/NEQ004_size4.smt2,unsat,baseline,0,0,unsat,0.005782542,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ004_size4.smt2""]"
1,0,853,QF_UF/NEQ/NEQ004_size4.smt2,unsat,candidate,0,1,unsat,0.569172250,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ004_size4.smt2""]"
2,1,854,QF_UF/NEQ/NEQ004_size5.smt2,unsat,candidate,0,0,unsat,0.014536042,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ004_size5.smt2""]"
3,1,854,QF_UF/NEQ/NEQ004_size5.smt2,unsat,baseline,0,1,unsat,0.012594667,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ004_size5.smt2""]"
4,2,855,QF_UF/NEQ/NEQ004_size6.smt2,unsat,baseline,0,0,unsat,0.015686750,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ004_size6.smt2""]"
5,2,855,QF_UF/NEQ/NEQ004_size6.smt2,unsat,candidate,0,1,unsat,0.009796375,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ004_size6.smt2""]"
6,3,856,QF_UF/NEQ/NEQ004_size7.smt2,unsat,candidate,0,0,unsat,0.014876333,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ004_size7.smt2""]"
7,3,856,QF_UF/NEQ/NEQ004_size7.smt2,unsat,baseline,0,1,unsat,0.022688041,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ004_size7.smt2""]"
8,4,857,QF_UF/NEQ/NEQ006_size3.smt2,unsat,baseline,0,0,unsat,0.008366208,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ006_size3.smt2""]"
9,4,857,QF_UF/NEQ/NEQ006_size3.smt2,unsat,candidate,0,1,unsat,0.006959292,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ006_size3.smt2""]"
10,5,858,QF_UF/NEQ/NEQ006_size4.smt2,unsat,candidate,0,0,unsat,0.050710417,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ006_size4.smt2""]"
11,5,858,QF_UF/NEQ/NEQ006_size4.smt2,unsat,baseline,0,1,unsat,0.047049083,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ006_size4.smt2""]"
12,6,859,QF_UF/NEQ/NEQ006_size5.smt2,unsat,baseline,0,0,unsat,0.261702291,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ006_size5.smt2""]"
13,6,859,QF_UF/NEQ/NEQ006_size5.smt2,unsat,candidate,0,1,unsat,0.163702250,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ006_size5.smt2""]"
14,7,860,QF_UF/NEQ/NEQ006_size6.smt2,unsat,candidate,0,0,unsat,0.219429625,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ006_size6.smt2""]"
15,7,860,QF_UF/NEQ/NEQ006_size6.smt2,unsat,baseline,0,1,unsat,0.318213209,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ006_size6.smt2""]"
16,8,861,QF_UF/NEQ/NEQ015_size3.smt2,unsat,baseline,0,0,unsat,0.016851875,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ015_size3.smt2""]"
17,8,861,QF_UF/NEQ/NEQ015_size3.smt2,unsat,candidate,0,1,unsat,0.025101542,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ015_size3.smt2""]"
18,9,862,QF_UF/NEQ/NEQ015_size4.smt2,unsat,candidate,0,0,unsat,0.052288875,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ015_size4.smt2""]"
19,9,862,QF_UF/NEQ/NEQ015_size4.smt2,unsat,baseline,0,1,unsat,0.115708875,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ015_size4.smt2""]"
20,10,863,QF_UF/NEQ/NEQ015_size5.smt2,unsat,baseline,0,0,unsat,0.243472917,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ015_size5.smt2""]"
21,10,863,QF_UF/NEQ/NEQ015_size5.smt2,unsat,candidate,0,1,unsat,0.154825083,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ015_size5.smt2""]"
22,11,864,QF_UF/NEQ/NEQ015_size6.smt2,unsat,candidate,0,0,unsat,0.419672792,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ015_size6.smt2""]"
23,11,864,QF_UF/NEQ/NEQ015_size6.smt2,unsat,baseline,0,1,timeout,2.004846792,124,-9,1,timeout,,,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ015_size6.smt2""]"
24,12,865,QF_UF/NEQ/NEQ016_size5.smt2,unsat,baseline,0,0,unsat,0.020108708,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/yices-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ016_size5.smt2""]"
