sequence,row_index,id,relative_path,expected_status,label,repeat,order_in_repeat,result,time_s,exit_code,process_returncode,timed_out,error_kind,stdout,stderr,argv_json
0,0,853,QF_UF/NEQ/NEQ004_size4.smt2,unsat,baseline,0,0,unsat,0.030208584,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/cvc5"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ004_size4.smt2""]"
1,0,853,QF_UF/NEQ/NEQ004_size4.smt2,unsat,candidate,0,1,unsat,0.004394291,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ004_size4.smt2""]"
2,1,854,QF_UF/NEQ/NEQ004_size5.smt2,unsat,candidate,0,0,unsat,0.005506791,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ004_size5.smt2""]"
3,1,854,QF_UF/NEQ/NEQ004_size5.smt2,unsat,baseline,0,1,unsat,0.057601750,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/cvc5"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ004_size5.smt2""]"
4,2,855,QF_UF/NEQ/NEQ004_size6.smt2,unsat,baseline,0,0,unsat,0.091652333,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/cvc5"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ004_size6.smt2""]"
5,2,855,QF_UF/NEQ/NEQ004_size6.smt2,unsat,candidate,0,1,unsat,0.008366000,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ004_size6.smt2""]"
6,3,856,QF_UF/NEQ/NEQ004_size7.smt2,unsat,candidate,0,0,unsat,0.014263792,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ004_size7.smt2""]"
7,3,856,QF_UF/NEQ/NEQ004_size7.smt2,unsat,baseline,0,1,unsat,0.133821458,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/cvc5"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ004_size7.smt2""]"
8,4,857,QF_UF/NEQ/NEQ006_size3.smt2,unsat,baseline,0,0,unsat,0.031300083,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/cvc5"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ006_size3.smt2""]"
9,4,857,QF_UF/NEQ/NEQ006_size3.smt2,unsat,candidate,0,1,unsat,0.007776042,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ006_size3.smt2""]"
10,5,858,QF_UF/NEQ/NEQ006_size4.smt2,unsat,candidate,0,0,unsat,0.052505917,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ006_size4.smt2""]"
11,5,858,QF_UF/NEQ/NEQ006_size4.smt2,unsat,baseline,0,1,unsat,0.138890500,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/cvc5"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ006_size4.smt2""]"
12,6,859,QF_UF/NEQ/NEQ006_size5.smt2,unsat,baseline,0,0,unsat,1.090381750,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/cvc5"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ006_size5.smt2""]"
13,6,859,QF_UF/NEQ/NEQ006_size5.smt2,unsat,candidate,0,1,unsat,0.166110792,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ006_size5.smt2""]"
14,7,860,QF_UF/NEQ/NEQ006_size6.smt2,unsat,candidate,0,0,unsat,0.227341209,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ006_size6.smt2""]"
15,7,860,QF_UF/NEQ/NEQ006_size6.smt2,unsat,baseline,0,1,timeout,2.004345625,124,-9,1,timeout,,,"[""third_party/solvers/pinned/bin/cvc5"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ006_size6.smt2""]"
16,8,861,QF_UF/NEQ/NEQ015_size3.smt2,unsat,baseline,0,0,unsat,0.047056333,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/cvc5"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ015_size3.smt2""]"
17,8,861,QF_UF/NEQ/NEQ015_size3.smt2,unsat,candidate,0,1,unsat,0.025302917,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ015_size3.smt2""]"
18,9,862,QF_UF/NEQ/NEQ015_size4.smt2,unsat,candidate,0,0,unsat,0.049796959,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ015_size4.smt2""]"
19,9,862,QF_UF/NEQ/NEQ015_size4.smt2,unsat,baseline,0,1,unsat,0.148931791,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/cvc5"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ015_size4.smt2""]"
20,10,863,QF_UF/NEQ/NEQ015_size5.smt2,unsat,baseline,0,0,unsat,0.449069500,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/cvc5"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ015_size5.smt2""]"
21,10,863,QF_UF/NEQ/NEQ015_size5.smt2,unsat,candidate,0,1,unsat,0.162792500,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ015_size5.smt2""]"
22,11,864,QF_UF/NEQ/NEQ015_size6.smt2,unsat,candidate,0,0,unsat,0.419730417,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ015_size6.smt2""]"
23,11,864,QF_UF/NEQ/NEQ015_size6.smt2,unsat,baseline,0,1,unsat,1.445686625,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/cvc5"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ015_size6.smt2""]"
24,12,865,QF_UF/NEQ/NEQ016_size5.smt2,unsat,baseline,0,0,unsat,0.044964792,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/cvc5"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ016_size5.smt2""]"
25,12,865,QF_UF/NEQ/NEQ016_size5.smt2,unsat,candidate,0,1,unsat,0.011374292,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ016_size5.smt2""]"
26,13,866,QF_UF/NEQ/NEQ016_size6.smt2,unsat,candidate,0,0,unsat,0.057848625,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ016_size6.smt2""]"
27,13,866,QF_UF/NEQ/NEQ016_size6.smt2,unsat,baseline,0,1,unsat,0.427350500,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/cvc5"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ016_size6.smt2""]"
28,14,867,QF_UF/NEQ/NEQ016_size7.smt2,unsat,baseline,0,0,timeout,2.003928417,124,-9,1,timeout,,,"[""third_party/solvers/pinned/bin/cvc5"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ016_size7.smt2""]"
29,14,867,QF_UF/NEQ/NEQ016_size7.smt2,unsat,candidate,0,1,unsat,0.058768292,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ016_size7.smt2""]"
30,15,868,QF_UF/NEQ/NEQ016_size8.smt2,unsat,candidate,0,0,unsat,0.118781917,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ016_size8.smt2""]"
31,15,868,QF_UF/NEQ/NEQ016_size8.smt2,unsat,baseline,0,1,timeout,2.003919625,124,-9,1,timeout,,,"[""third_party/solvers/pinned/bin/cvc5"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ016_size8.smt2""]"
32,16,869,QF_UF/NEQ/NEQ023_size4.smt2,unsat,baseline,0,0,unsat,0.032909125,0,0,0,,"unsat
",,"[""third_party/solvers/pinned/bin/cvc5"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ023_size4.smt2""]"
33,16,869,QF_UF/NEQ/NEQ023_size4.smt2,unsat,candidate,0,1,unsat,0.005655583,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ023_size4.smt2""]"
34,17,870,QF_UF/NEQ/NEQ023_size5.smt2,unsat,candidate,0,0,unsat,0.030557666,0,0,0,,"unsat
",,"[""target/release/euf-viper"",""fabric-solve"",""--engine"",""quotient-portfolio"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/NEQ/NEQ023_size5.smt2""]"
